Level..Chapter.,page_count,video_count,act_count,page_counter,video_counter,act_counter
topic-1-1-getting-started,1,0,0,1,0,0
topic-1-2-java-intro,1,3,15,2,3,15
topic-1-3-variables,1,1,17,3,4,32
topic-1-4-assignment,1,4,11,4,8,43
topic-1-5-shortcutoperators,1,0,4,5,8,47
topic-1-6-casting,1,0,9,6,8,56
topic-1-7-summary,1,0,0,7,8,56
topic-1-8-practice-mixed-code,1,0,14,8,8,70
topic-1-8-practice-mixed-code-toggle,1,0,0,9,8,70
topic-1-9-practice-coding,1,0,32,10,8,102
topic-10-1-recursion,1,0,0,11,8,102
topic-10-1-recursion-challenge,1,0,7,12,8,109
topic-10-1-recursion-day1,1,2,8,13,10,117
topic-10-1-recursion-day2,1,0,5,14,10,122
topic-10-2-recursive-search-sort,1,3,9,15,13,131
topic-10-4-toggle-problems,1,0,0,16,13,131
topic-2-1-objects-intro-turtles,1,6,15,17,19,146
topic-2-10-summary,1,0,0,18,19,146
topic-2-11-practice-mixed-code,1,0,6,19,19,152
topic-2-11-practice-mixed-code-toggle,1,0,0,20,19,152
topic-2-12-practice-coding,1,0,17,21,19,169
topic-2-2-constructors,1,2,14,22,21,183
topic-2-3-methods-no-params,1,0,7,23,21,190
topic-2-4-methods-with-params,1,0,8,24,21,198
topic-2-5-methods-return,1,0,9,25,21,207
topic-2-6-strings,1,0,8,26,21,215
topic-2-7-string-methods,1,0,12,27,21,227
topic-2-8-integerdouble,1,0,3,28,21,230
topic-2-9-math,1,0,14,29,21,244
topic-3-1-booleans,1,3,7,30,24,251
topic-3-10-practice-coding,1,0,20,31,24,271
topic-3-13-more-practice-coding,1,0,4,32,24,275
topic-3-2-ifs,1,0,8,33,24,283
topic-3-3-if-else,1,0,8,34,24,291
topic-3-4-else-ifs,1,0,8,35,24,299
topic-3-5-compound-ifs,1,0,13,36,24,312
topic-3-6-demorgan,1,0,9,37,24,321
topic-3-7-comparing-objects,1,6,8,38,30,329
topic-3-8-summary,1,0,0,39,30,329
topic-3-9-practice-mixed-code,1,0,10,40,30,339
topic-3-9-practice-mixed-code-toggle,1,0,0,41,30,339
topic-4-1-while-loops,1,4,8,42,34,347
topic-4-2-for-loops,1,2,12,43,36,359
topic-4-3-strings-loops,1,0,5,44,36,364
topic-4-4-nested-loops,1,0,6,45,36,370
topic-4-5-loop-analysis,1,0,9,46,36,379
topic-4-6-group-mod,1,0,14,47,36,393
topic-4-6-summary,1,0,3,48,36,396
topic-4-7-practice-mixed-code,1,0,11,49,36,407
topic-4-7-practice-mixed-code-toggle,1,0,0,50,36,407
topic-4-8-practice-coding,1,0,32,51,36,439
topic-5-1-parts-of-class,1,1,7,52,37,446
topic-5-10-social-impacts,1,5,0,53,42,446
topic-5-11-summary,1,0,0,54,42,446
topic-5-2-writing-constructors,1,0,8,55,42,454
topic-5-3-comments-conditions,1,2,7,56,44,461
topic-5-4-accessor-methods,1,0,5,57,44,466
topic-5-5-mutator-methods,1,0,7,58,44,473
topic-5-6-writing-methods,1,2,7,59,46,480
topic-5-7-static-vars-methods,1,1,4,60,47,484
topic-5-8-scope-access,1,0,5,61,47,489
topic-5-9-this,1,1,5,62,48,494
topic-6-1-array-basics,1,4,15,63,52,509
topic-6-2-traversing-arrays,1,0,19,64,52,528
topic-6-3-arrays-with-foreach,1,0,11,65,52,539
topic-6-4-array-algorithms,1,0,2,66,52,541
topic-6-5-summary,1,0,0,67,52,541
topic-7-1-arraylist-basics,1,0,10,68,52,551
topic-7-2-arraylist-methods,1,0,11,69,52,562
topic-7-3-arraylist-loops,1,0,9,70,52,571
topic-7-4-arraylist-algorithms,1,0,4,71,52,575
topic-7-5-searching,1,2,13,72,54,588
topic-7-6-sorting,1,4,7,73,58,595
topic-7-7-data-ethics,1,4,0,74,62,595
topic-7-8-summary,1,0,0,75,62,595
topic-7-9-toggle-problems,1,0,0,76,62,595
topic-8-1-2d-arrays,1,0,0,77,62,595
topic-8-1-2d-arrays-day1,1,0,2,78,62,597
topic-8-1-2d-arrays-day2,1,0,6,79,62,603
topic-8-2-2d-array-loops,1,0,0,80,62,603
topic-8-2-2d-array-loops-day1,1,0,6,81,62,609
topic-8-2-2d-array-loops-day2,1,0,6,82,62,615
topic-8-4-toggle-problems,1,0,0,83,62,615
topic-9-1-inheritance,1,0,0,84,62,615
topic-9-1-inheritance-day1,1,0,5,85,62,620
topic-9-1-inheritance-day2,1,0,7,86,62,627
topic-9-10-toggle-problems,1,0,0,87,62,627
topic-9-2-constructors,1,0,3,88,62,630
topic-9-3-overriding,1,0,7,89,62,637
topic-9-4-super,1,0,3,90,62,640
topic-9-5-hierarchies,1,0,8,91,62,648
topic-9-6-polymorphism,1,0,5,92,62,653
topic-9-7-object,1,0,5,93,62,658
topic-input-files,1,0,6,94,62,664
topic-parsons-practice,1,0,10,95,62,674
topic-toggle-problems,1,0,0,96,62,674
